================================================================================
DETAILED LATENCY REPORT
================================================================================
Rank  Name                                              Latency   Region  Score   
237   S5公益优选 | 元首复活 | DE | 130.17.0.12:443              420ms     DE      0.3140  
238   S5公益优选 | 风车郁金 | NL | 185.18.52.254:8443           421ms     NL      0.3486  
239   S5公益优选 | 🇸🇪 瑞典 04 | 202.181.177.8:8443            421ms     OTHER   0.3424  
240   S5公益优选 | 元首复活 | DE | 5.187.4.132:2087             421ms     DE      0.3263  
241   NRT-JP-2                                          422ms     JP      0.9475  
242   S5公益优选 | 🇸🇪 瑞典 14 | 185.130.46.202:443            422ms     OTHER   0.3983  
243   S5公益优选 | 元首复活 | DE | 194.5.65.217:8443            422ms     DE      0.3898  
244   S5公益优选 | 每日乳法 | FR | 95.182.88.221:443            422ms     FR      0.3147  
245   S5公益优选 | 风车郁金 | NL | 89.23.103.204:8443           423ms     NL      0.3285  
246   S5公益优选 | 🇵🇱 波兰 12 | 2.27.244.161:8443             423ms     OTHER   0.3248  
247   S5公益优选 | 🇵🇱 波兰 03 | 81.90.17.201:8443             424ms     OTHER   0.3260  
248   洛璃优选 | 小日本儿 JP | 45.8.173.250:443                 425ms     JP      0.9745  
249   S5公益优选 | 🇮🇹 意大利 07 | 179.255.190.24:443           425ms     OTHER   0.3979  
250   S5公益优选 | 🇧🇪 比利时 01 | 141.227.137.177:2053         425ms     OTHER   0.3507  
251   S5公益优选 | 🇸🇪 瑞典 01 | 202.181.177.116:443           425ms     OTHER   0.3128  
252   S5公益优选 | 🇸🇪 瑞典 11 | 185.58.115.45:443             427ms     OTHER   0.3981  
253   S5公益优选 | 🇨🇭 瑞士 02 | 107.189.2.206:8443            427ms     OTHER   0.3244  
254   S5公益优选 | 🇨🇿 捷克 01 | 195.123.244.20:443            428ms     OTHER   0.3421  
255   S5公益优选 | 🇨🇭 瑞士 13 | 179.255.191.89:443            428ms     OTHER   0.3313  
256   S5公益优选 | 🇵🇱 波兰 05 | 2.27.244.163:8443             429ms     OTHER   0.3742  
257   S5公益优选 | 🇨🇭 瑞士 11 | 140.238.214.95:443            430ms     OTHER   0.3615  
258   S5公益优选 | 🇵🇱 波兰 07 | 2.27.244.164:8443             430ms     OTHER   0.3515  
259   S5公益优选 | 元首复活 | DE | 89.127.192.64:443            430ms     DE      0.3424  
260   S5公益优选 | 元首复活 | DE | 130.17.12.236:8443           430ms     DE      0.3087  
261   S5公益优选 | 🇨🇭 瑞士 04 | 185.195.69.200:8443           432ms     OTHER   0.3563  
262   S5公益优选 | 🇮🇹 意大利 12 | 179.255.190.4:443            433ms     OTHER   0.3990  
263   S5公益优选 | 🇵🇱 波兰 10 | 2.27.244.160:8443             433ms     OTHER   0.3707  
264   S5公益优选 | 🇨🇿 捷克 08 | 92.61.71.49:443               433ms     OTHER   0.3663  
265   S5公益优选 | 🇨🇿 捷克 03 | 46.28.70.117:443              433ms     OTHER   0.3574  
266   S5公益优选 | 🇨🇭 瑞士 06 | 141.227.139.175:443           434ms     OTHER   0.3674  
267   S5公益优选 | 🇸🇪 瑞典 20 | 138.124.86.149:8443           435ms     OTHER   0.3976  
268   S5公益优选 | 🇵🇱 波兰 14 | 95.85.254.170:443             435ms     OTHER   0.3667  
269   S5公益优选 | 🇨🇿 捷克 02 | 193.162.47.60:443             435ms     OTHER   0.3394  
270   S5公益优选 | 🇩🇰 丹麦 08 | 195.88.89.92:8443             435ms     OTHER   0.3349  
271   S5公益优选 | 🇮🇹 意大利 11 | 179.255.190.3:443            435ms     OTHER   0.3205  
272   S5公益优选 | 🇮🇹 意大利 06 | 179.255.190.5:443            437ms     OTHER   0.3637  
273   S5公益优选 | 🇮🇹 意大利 04 | 45.147.250.39:443            437ms     OTHER   0.3499  
274   S5公益优选 | 元首复活 | DE | 57.129.4.92:443              437ms     DE      0.3478  
275   S5公益优选 | 🇵🇱 波兰 13 | 2.58.95.153:8443              437ms     OTHER   0.3408  
276   S5公益优选 | 🇨🇭 瑞士 15 | 141.227.151.68:2053           438ms     OTHER   0.3504  
277   S5公益优选 | 🇸🇪 瑞典 13 | 193.148.58.33:443             438ms     OTHER   0.3067  
278   S5公益优选 | 🇵🇱 波兰 16 | 2.58.95.90:443                439ms     OTHER   0.3602  
279   S5公益优选 | 🇮🇹 意大利 10 | 185.47.172.172:8443          440ms     OTHER   0.3926  
280   S5公益优选 | 🇵🇱 波兰 09 | 2.27.244.113:443              441ms     OTHER   0.3887  
281   S5公益优选 | 🇮🇹 意大利 01 | 151.241.215.143:8443         441ms     OTHER   0.3822  
282   S5公益优选 | 🇵🇱 波兰 01 | 2.27.244.164:2083             441ms     OTHER   0.3765  
283   S5公益优选 | 🇨🇿 捷克 06 | 37.205.15.169:443             441ms     OTHER   0.3760  
284   S5公益优选 | 🇫🇮 芬兰 01 | 193.221.203.206:443           441ms     OTHER   0.3512  
285   S5公益优选 | 风车郁金 | NL | 2.27.169.54:8443             441ms     NL      0.3301  
286   S5公益优选 | 🇨🇿 捷克 05 | 193.124.58.61:443             442ms     OTHER   0.3187  
287   S5公益优选 | 🇨🇿 捷克 16 | 185.122.186.95:443            443ms     OTHER   0.3502  
288   S5公益优选 | 🇸🇪 瑞典 05 | 168.220.85.211:443            443ms     OTHER   0.3102  
289   S5公益优选 | 🇵🇱 波兰 15 | 51.68.141.223:443             444ms     OTHER   0.3791  
290   S5公益优选 | 🇨🇿 捷克 04 | 46.28.70.200:443              444ms     OTHER   0.3514  
291   S5公益优选 | 🇨🇿 捷克 20 | 85.137.167.53:443             445ms     OTHER   0.3512  
292   S5公益优选 | 每日乳法 | FR | 51.91.78.12:443              445ms     FR      0.3047  
293   天诚优选1 | 港岛茶记 | HK | 92.113.124.228:443            446ms     HK      0.9882  
294   FRA-DE-6                                          446ms     DE      0.3664  
295   洛璃优选 | 小日本儿 JP | 92.113.124.38:443                447ms     JP      0.9321  
296   S5公益优选 | 🇩🇰 丹麦 06 | 45.153.48.157:443             447ms     OTHER   0.3634  
297   S5公益优选 | 🇧🇬 保加利亚 10 | 91.215.152.98:443           447ms     OTHER   0.3529  
298   S5公益优选 | 🇨🇿 捷克 10 | 91.199.160.38:443             447ms     OTHER   0.3082  
299   S5公益优选 | 🇮🇹 意大利 14 | 80.211.24.43:443             448ms     OTHER   0.3020  
300   S5公益优选 | 🇨🇿 捷克 12 | 193.124.57.253:8443           449ms     OTHER   0.3931  
301   S5公益优选 | 🇧🇬 保加利亚 13 | 185.223.253.130:443         450ms     OTHER   0.3273  
302   S5公益优选 | 🇨🇿 捷克 14 | 193.124.57.24:2053            451ms     OTHER   0.4010  
303   S5公益优选 | 🇧🇬 保加利亚 19 | 195.123.225.224:2053        451ms     OTHER   0.3711  
