================================================================================
DETAILED LATENCY REPORT
================================================================================
Rank  Name                                              Latency   Region  Score   
595   S5公益优选 | 🇬🇷 希腊 02 | 45.10.190.30:443              585ms     OTHER   0.3536  
596   S5公益优选 | 🇵🇱 波兰 17 | 144.31.1.178:8443             586ms     OTHER   0.3168  
597   S5公益优选 | 印加坡县 | SG | 172.236.132.46:443           587ms     SG      0.9858  
598   S5公益优选 | 港岛茶记 | HK | 209.33.166.49:443            587ms     HK      0.9436  
599   S5公益优选 | 烤肉火鸡 | TR | 185.219.133.106:443          587ms     TR      0.4005  
600   S5公益优选 | 印加坡县 | SG | 139.162.41.109:443           588ms     SG      0.9862  
601   S5公益优选 | 🇬🇷 希腊 06 | 85.90.197.53:443              588ms     OTHER   0.3377  
602   SG-23.249.27.136:23333                            589ms     SG      0.9472  
603   S5公益优选 | 战斗毛子 | RU | 185.185.71.66:443            589ms     RU      0.3902  
604   天诚优选1 | 泡菜欧巴 | KR | 129.154.50.72:8443            590ms     KR      0.3220  
605   洛璃优选 | 新加坡 SG | 54.169.146.255:443                591ms     SG      0.9392  
606   S5公益优选 | 🇮🇱 以色列 02 | 185.241.7.178:443            591ms     OTHER   0.3179  
607   S5公益优选 | 泡菜欧巴 | KR | 152.67.208.47:443            591ms     KR      0.3067  
608   天诚优选1 | 印加坡县 | SG | 52.221.4.213:443              592ms     SG      0.9950  
609   S5公益优选 | 🇸🇪 瑞典 16 | 213.21.229.240:8443           593ms     OTHER   0.3832  
610   S5公益优选 | 🇬🇷 希腊 01 | 85.90.197.159:443             594ms     OTHER   0.3804  
611   S5公益优选 | 泡菜欧巴 | KR | 152.67.198.36:443            594ms     KR      0.3265  
612   S5公益优选 | 印加坡县 | SG | 172.236.130.18:443           595ms     SG      0.9445  
613   SG-129.212.229.240:443                            596ms     SG      0.9404  
614   S5公益优选 | 印加坡县 | SG | 172.237.81.42:443            598ms     SG      0.9299  
615   S5公益优选 | 烤肉火鸡 | TR | 193.187.132.11:2053          598ms     TR      0.3964  
616   S5公益优选 | 战斗毛子 | RU | 155.212.175.87:2053          598ms     RU      0.3387  
617   天诚优选1 | 印加坡县 | SG | 46.137.229.208:443            599ms     SG      0.9544  
618   S5公益优选 | 战斗毛子 | RU | 157.22.190.184:2053          599ms     RU      0.3415  
619   S5公益优选 | 战斗毛子 | RU | 141.8.196.120:443            599ms     RU      0.3147  
620   S5公益优选 | 战斗毛子 | RU | 158.255.6.5:8443             599ms     RU      0.3119  
621   天诚优选1 | 印加坡县 | SG | 52.77.54.144:443              600ms     SG      0.9515  
622   洛璃优选 | 新加坡 SG | 13.212.102.10:443                 601ms     SG      0.9784  
623   SIN-SG-2                                          601ms     SG      0.9230  
624   S5公益优选 | 印加坡县 | SG | 139.177.185.196:443          601ms     SG      0.9119  
625   S5公益优选 | 元首复活 | DE | 47.245.131.215:8443          601ms     DE      0.3918  
626   S5公益优选 | 战斗毛子 | RU | 83.147.255.116:443           601ms     RU      0.3767  
627   洛璃优选 | 新加坡 SG | 18.138.252.84:443                 602ms     SG      0.9668  
628   S5公益优选 | 土澳袋鼠 | AU | 160.187.110.199:443          602ms     AU      0.3769  
629   HK-103.255.208.163:35993                          603ms     HK      0.9904  
630   SIN-SG-5                                          603ms     SG      0.9763  
631   S5公益优选 | 🇮🇸 冰岛 02 | 195.162.68.79:443             603ms     OTHER   0.3344  
632   S5公益优选 | 泡菜欧巴 | KR | 152.69.229.110:443           603ms     KR      0.3250  
633   天诚优选1 | 印加坡县 | SG | 13.213.65.117:443             604ms     SG      0.9334  
634   S5公益优选 | 🇸🇪 瑞典 12 | 62.60.152.31:443              605ms     OTHER   0.3992  
635   S5公益优选 | 🇮🇱 以色列 01 | 185.253.75.119:443           605ms     OTHER   0.3377  
636   S5公益优选 | 🇫🇮 芬兰 20 | 77.221.143.81:2053            605ms     OTHER   0.3087  
637   洛璃优选 | 新加坡 SG | 52.221.53.171:443                 606ms     SG      0.9430  
638   S5公益优选 | 🇫🇮 芬兰 10 | 77.232.143.39:8443            606ms     OTHER   0.3383  
639   S5公益优选 | 大嘤帝国 | UK | 87.106.65.110:443            606ms     UK      0.3102  
640   SG-129.212.232.220:8443                           607ms     SG      0.9692  
641   S5公益优选 | 🇫🇮 芬兰 04 | 62.60.251.86:2053             607ms     OTHER   0.3929  
642   天诚优选1 | 印加坡县 | SG | 217.116.170.165:443           608ms     SG      0.9634  
643   S5公益优选 | 🇬🇷 希腊 08 | 91.250.248.223:443            608ms     OTHER   0.3893  
644   S5公益优选 | 🇫🇮 芬兰 11 | 91.103.140.31:2053            608ms     OTHER   0.3351  
645   SIN-SG-3                                          610ms     SG      0.9282  
646   S5公益优选 | 战斗毛子 | RU | 157.22.185.110:2053          611ms     RU      0.3022  
647   洛璃优选 | 新加坡 SG | 18.141.208.166:443                612ms     SG      0.9698  
648   S5公益优选 | 印加坡县 | SG | 172.237.91.206:443           614ms     SG      0.9732  
649   S5公益优选 | 大嘤帝国 | UK | 77.68.97.197:443             614ms     UK      0.3697  
650   天诚优选1 | 印加坡县 | SG | 47.131.189.221:443            616ms     SG      0.9823  
651   洛璃优选 | 新加坡 SG | 3.1.187.169:443                   617ms     SG      0.9128  
652   SG-103.190.178.195:443                            618ms     SG      0.9886  
653   S5公益优选 | 战斗毛子 | RU | 85.198.109.79:2053           618ms     RU      0.3960  
654   S5公益优选 | 烤肉火鸡 | TR | 130.94.1.177:443             618ms     TR      0.3120  
655   S5公益优选 | 🇫🇮 芬兰 19 | 77.221.159.75:443             620ms     OTHER   0.3640  
656   S5公益优选 | 烤肉火鸡 | TR | 188.132.232.192:8443         620ms     TR      0.3597  
657   洛璃优选 | 新加坡 SG | 54.169.57.101:8443                623ms     SG      0.9589  
658   S5公益优选 | 🇨🇭 瑞士 05 | 146.70.71.157:443             623ms     OTHER   0.3694  
659   S5公益优选 | 港岛茶记 | HK | 2.27.109.12:443              625ms     HK      0.9372  
660   S5公益优选 | 战斗毛子 | RU | 212.109.220.55:8443          625ms     RU      0.3028  
661   洛璃优选 | 新加坡 SG | 52.77.72.146:443                  626ms     SG      0.9278  
662   S5公益优选 | 港岛茶记 | HK | 207.57.132.107:443           626ms     HK      0.9242  
663   S5公益优选 | 烤肉火鸡 | TR | 130.94.1.150:443             626ms     TR      0.3125  
664   S5公益优选 | 烤肉火鸡 | TR | 104.143.204.23:8443          627ms     TR      0.3361  
665   S5公益优选 | 宝岛正妹 | TW | 207.56.137.174:443           627ms     TW      0.3225  
666   S5公益优选 | 战斗毛子 | RU | 193.124.130.225:443          628ms     RU      0.3834  
667   S5公益优选 | 烤肉火鸡 | TR | 213.155.119.28:443           634ms     TR      0.3693  
668   S5公益优选 | 印加坡县 | SG | 104.64.192.116:443           636ms     SG      0.9915  
669   S5公益优选 | 🇲🇩 摩尔多瓦 02 | 146.19.213.60:443           638ms     OTHER   0.3577  
670   S5公益优选 | 🇪🇬 埃及 01 | 38.54.59.70:443               642ms     OTHER   0.3816  
671   S5公益优选 | 战斗毛子 | RU | 82.146.62.187:2053           642ms     RU      0.3787  
672   S5公益优选 | 🇮🇸 冰岛 01 | 194.247.182.120:8443          643ms     OTHER   0.3464  
673   S5公益优选 | 战斗毛子 | RU | 91.188.214.126:443           645ms     RU      0.3535  
674   SIN-SG-4                                          647ms     SG      0.9642  
675   S5公益优选 | 土澳袋鼠 | AU | 123.51.23.113:443            647ms     AU      0.3398  
676   S5公益优选 | 🇷🇴 罗马尼亚 01 | 82.152.132.53:443           650ms     OTHER   0.3743  
677   S5公益优选 | 🇮🇩 印尼 04 | 43.229.254.71:443             653ms     OTHER   0.3486  
678   S5公益优选 | 烤肉火鸡 | TR | 104.143.204.23:443           654ms     TR      0.3624  
679   S5公益优选 | 🇮🇩 印尼 01 | 172.232.236.252:443           655ms     OTHER   0.3238  
680   RU-176.113.81.56:443                              665ms     RU      0.3021  
681   S5公益优选 | 烤肉火鸡 | TR | 194.87.129.221:443           665ms     TR      0.3012  
682   HKG-SG                                            667ms     HK      0.9868  
683   S5公益优选 | 🇮🇩 印尼 02 | 147.139.189.225:443           669ms     OTHER   0.3460  
684   HKG-SG-2                                          672ms     HK      0.9594  
685   S5公益优选 | 干净卫生 | IN | 170.187.237.195:443          673ms     IN      0.3399  
686   天诚优选1 | 泡菜欧巴 | KR | 168.107.40.4:8443             674ms     KR      0.3553  
687   S5公益优选 | 战斗毛子 | RU | 91.188.213.107:443           674ms     RU      0.3545  
688   S5公益优选 | 泡菜欧巴 | KR | 146.56.115.180:443           674ms     KR      0.3404  
689   S5公益优选 | 🇮🇩 印尼 03 | 43.173.1.153:8443             677ms     OTHER   0.3156  
690   S5公益优选 | 干净卫生 | IN | 170.187.237.198:443          682ms     IN      0.4005  
691   S5公益优选 | 干净卫生 | IN | 172.237.36.109:443           682ms     IN      0.3652  
692   S5公益优选 | 🇸🇪 瑞典 19 | 77.221.140.151:443            689ms     OTHER   0.3639  
693   S5公益优选 | 风车郁金 | NL | 79.132.139.128:443           694ms     NL      0.3017  
694   S5公益优选 | 烤肉火鸡 | TR | 176.42.68.134:2087           701ms     TR      0.3440  
695   S5公益优选 | 泡菜欧巴 | KR | 152.67.210.234:443           712ms     KR      0.3215  
696   FRA-DE-2                                          712ms     DE      0.3160  
697   S5公益优选 | 🇸🇪 瑞典 17 | 138.124.59.252:443            713ms     OTHER   0.3234  
698   S5公益优选 | 🇮🇹 意大利 02 | 57.131.32.25:2053            713ms     OTHER   0.3092  
699   S5公益优选 | 宝岛正妹 | TW | 142.249.60.51:443            716ms     TW      0.3153  
700   S5公益优选 | 干净卫生 | IN | 157.20.27.35:443             726ms     IN      0.3282  
701   天诚优选1 | 港岛茶记 | HK | 43.100.53.46:443              730ms     HK      0.9885  
702   S5公益优选 | 大马榴莲 | MY | 149.118.144.163:443          731ms     MY      0.3112  
703   S5公益优选 | 烤肉火鸡 | TR | 201.50.115.20:443            738ms     TR      0.3946  
704   S5公益优选 | 干净卫生 | IN | 13.126.206.240:443           739ms     IN      0.3391  
705   S5公益优选 | 🇱🇹 立陶宛 09 | 5.199.173.195:443            744ms     OTHER   0.3472  
706   洛璃优选 | 美国 US | 82.22.26.141:2053                  745ms     US      0.6763  
707   S5公益优选 | 干净卫生 | IN | 5.253.30.225:443             748ms     IN      0.3295  
708   TH-118.27.150.97:8443                             758ms     TH      0.3923  
709   S5公益优选 | 萨瓦迪卡 | TH | 45.150.128.159:443           760ms     TH      0.3011  
710   洛璃优选 | 马来西亚 MY | 45.134.36.44:443                 763ms     MY      0.3873  
711   S5公益优选 | 🇱🇹 立陶宛 07 | 213.189.221.242:8443         763ms     OTHER   0.3304  
712   洛璃优选 | 越南 VN | 160.25.75.40:443                   765ms     VN      0.3890  
713   S5公益优选 | 宝岛正妹 | TW | 141.11.87.48:8443            774ms     TW      0.3355  
714   BOM-IN                                            784ms     IN      0.3236  
715   TH-103.224.84.70:443                              789ms     TH      0.3601  
716   S5公益优选 | 干净卫生 | IN | 52.66.200.252:443            792ms     IN      0.3653  
717   S5公益优选 | 干净卫生 | IN | 20.219.46.208:8443           805ms     IN      0.3708  
718   S5公益优选 | 干净卫生 | IN | 94.136.185.7:8443            807ms     IN      0.3534  
719   JP-216.23.123.211:30718                           817ms     JP      0.9944  
720   天诚优选1 | 战争贩子 | US | 216.23.123.64:30718           836ms     US      0.6409  
721   S5公益优选 | 🇰🇿 哈萨克斯坦 12 | 206.223.242.242:8443       838ms     OTHER   0.3915  
722   S5公益优选 | 🇰🇿 哈萨克斯坦 11 | 195.210.47.128:443         849ms     OTHER   0.3552  
723   S5公益优选 | 🇰🇿 哈萨克斯坦 14 | 91.147.92.252:443          852ms     OTHER   0.3432  
724   S5公益优选 | 🇸🇦 沙特 01 | 130.94.58.215:443             856ms     OTHER   0.3867  
725   S5公益优选 | 🇰🇿 哈萨克斯坦 18 | 176.12.77.95:443           859ms     OTHER   0.3562  
726   S5公益优选 | 干净卫生 | IN | 64.227.174.213:2053          861ms     IN      0.3727  
727   S5公益优选 | 干净卫生 | IN | 168.144.155.167:443          863ms     IN      0.3210  
728   S5公益优选 | 🇰🇿 哈萨克斯坦 04 | 5.39.253.54:443            867ms     OTHER   0.3567  
729   S5公益优选 | 🇰🇿 哈萨克斯坦 05 | 206.223.240.239:2053       867ms     OTHER   0.3052  
730   S5公益优选 | 🇰🇿 哈萨克斯坦 06 | 87.199.129.201:443         868ms     OTHER   0.3477  
731   S5公益优选 | 🇰🇿 哈萨克斯坦 19 | 5.39.253.39:443            874ms     OTHER   0.3743  
732   S5公益优选 | 干净卫生 | IN | 68.233.107.29:443            875ms     IN      0.3666  
733   S5公益优选 | 🇰🇿 哈萨克斯坦 02 | 2.27.131.10:443            879ms     OTHER   0.3799  
734   S5公益优选 | 🇰🇿 哈萨克斯坦 03 | 45.10.40.150:443           886ms     OTHER   0.3648  
735   S5公益优选 | 🇰🇿 哈萨克斯坦 20 | 80.90.183.47:443           887ms     OTHER   0.3690  
736   DXB-AE                                            892ms     OTHER   0.3082  
737   S5公益优选 | 🇰🇿 哈萨克斯坦 08 | 193.47.43.197:443          893ms     OTHER   0.3374  
738   S5公益优选 | 干净卫生 | IN | 65.2.215.47:443              898ms     IN      0.3886  
739   S5公益优选 | 干净卫生 | IN | 64.227.174.213:8443          898ms     IN      0.3743  
740   S5公益优选 | 🇦🇪 阿联酋 02 | 147.78.0.186:2053            899ms     OTHER   0.3254  
741   S5公益优选 | 干净卫生 | IN | 168.144.154.79:443           899ms     IN      0.3218  
742   S5公益优选 | 干净卫生 | IN | 64.227.164.129:443           907ms     IN      0.3967  
743   S5公益优选 | 干净卫生 | IN | 168.144.68.202:443           907ms     IN      0.3584  
744   MAA-IN-2                                          914ms     IN      0.3367  
745   S5公益优选 | 干净卫生 | IN | 167.71.238.69:443            914ms     IN      0.3265  
746   S5公益优选 | 🇰🇿 哈萨克斯坦 01 | 147.45.184.140:8443        915ms     OTHER   0.3294  
747   S5公益优选 | 🇰🇿 哈萨克斯坦 07 | 31.130.152.102:443         920ms     OTHER   0.3238  
748   S5公益优选 | 🇰🇿 哈萨克斯坦 10 | 46.8.254.63:8443           931ms     OTHER   0.3992  
749   S5公益优选 | 🇰🇿 哈萨克斯坦 16 | 46.8.254.63:443            936ms     OTHER   0.3488  
750   SJC-US                                            945ms     US      0.6850  
751   S5公益优选 | 战争贩子 | US | 157.119.103.52:443           948ms     US      0.6344  
752   MAA-IN                                            951ms     IN      0.3188  
753   SJC-US-2                                          953ms     US      0.6204  
754   天诚优选1 | 港岛茶记 | HK | 47.242.162.186:443            958ms     HK      0.9801  
755   S5公益优选 | 🇰🇿 哈萨克斯坦 13 | 45.136.57.82:2053          958ms     OTHER   0.3683  
756   S5公益优选 | 🇧🇬 保加利亚 04 | 83.147.241.197:443          963ms     OTHER   0.3742  
757   S5公益优选 | 🇰🇬 吉尔吉斯斯坦 02 | 188.240.213.98:2053       963ms     OTHER   0.3468  
758   S5公益优选 | 🇰🇬 吉尔吉斯斯坦 01 | 188.240.213.98:8443       970ms     OTHER   0.3596  
759   S5公益优选 | 🇰🇿 哈萨克斯坦 09 | 109.248.247.86:443         979ms     OTHER   0.3681  
760   S5公益优选 | 小日本儿 | JP | 31.57.218.99:443             980ms     JP      0.9769  
761   S5公益优选 | 泡菜欧巴 | KR | 168.107.14.233:443           981ms     KR      0.3970  
762   S5公益优选 | 小日本儿 | JP | 137.220.225.56:443           984ms     JP      0.9465  
763   S5公益优选 | 小日本儿 | JP | 137.220.225.111:443          984ms     JP      0.9401  
764   S5公益优选 | 🇰🇿 哈萨克斯坦 15 | 109.248.18.226:8443        997ms     OTHER   0.3267  
765   S5公益优选 | 🇦🇪 阿联酋 01 | 147.78.0.186:8443            1013ms    OTHER   0.3594  
766   S5公益优选 | 🇧🇭 巴林 01 | 149.104.106.219:443           1013ms    OTHER   0.3413  
767   S5公益优选 | 战争贩子 | US | 95.40.227.67:443             1017ms    US      0.6083  
768   S5公益优选 | 🇦🇪 阿联酋 05 | 84.235.255.82:443            1020ms    OTHER   0.3313  
769   LAX-US-4                                          1070ms    US      0.6195  
770   S5公益优选 | 🇦🇪 阿联酋 03 | 193.123.74.174:8443          1079ms    OTHER   0.3706  
771   S5公益优选 | 🇰🇿 哈萨克斯坦 17 | 38.180.207.241:443         1117ms    OTHER   0.3238  
772   S5公益优选 | 泡菜欧巴 | KR | 168.110.107.218:443          1128ms    KR      0.3096  
773   洛璃优选 | 中国 CN | 43.161.254.71:443                  1180ms    OTHER   0.3287  
774   SJC-US-3                                          1228ms    US      0.6459  
775   IAD-US                                            1278ms    US      0.6153  
776   IAD-US-2                                          1318ms    US      0.6128  
777   S5公益优选 | 泡菜欧巴 | KR | 43.155.134.179:443           1429ms    KR      0.3258  
778   天诚优选1 | 泡菜欧巴 | KR | 123.111.169.70:2083           1585ms    KR      0.3580  
779   S5公益优选 | 🇦🇪 阿联酋 04 | 45.86.228.104:443            2056ms    OTHER   0.3740  
780   S5公益优选 | 干净卫生 | IN | 5.253.28.113:443             2082ms    IN      0.3536  
781   S5公益优选 | 小日本儿 | JP | 157.254.198.27:443           2274ms    JP      0.9366  
782   S5公益优选 | 小日本儿 | JP | 118.25.185.127:8443          2313ms    JP      0.9909  
783   S5公益优选 | 印加坡县 | SG | 64.56.71.152:8443            2315ms    SG      0.9519  
784   S5公益优选 | 战争贩子 | US | 45.144.136.19:8443           2315ms    US      0.6080  
785   S5公益优选 | 烤肉火鸡 | TR | 185.113.223.183:8443         2971ms    TR      0.3218  
786   S5公益优选 | 🇷🇴 罗马尼亚 04 | 82.152.132.60:443           3344ms    OTHER   0.3637  
787   NRT-JP-4                                          3444ms    JP      0.9557  
788   天诚优选1 | 小日本儿 | JP | 166.88.98.239:443             4854ms    JP      0.9767  
================================================================================
